record_id,system_facility_train_stream_sample_ids,boundary_and_direction,time_window_time_zone,measurement_state,flow_value_unit,concentration_or_quality_value_unit,mass_or_solids_value_unit,sample_type_fraction,method_detection_reporting_limit_qualifier,instrument_export_version,source_location,source_authority,source_version_effective_date,observation_sample_result_date,formula_conversion_factor_and_basis,calculated_value_unit,balance_residual_or_unmeasured_terms,counterevidence,owner,qualified_reviewer,applicability,uncertainty,status,decision_not_made,stop_or_escalation
FQM-001,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,draft,"No dose setpoint control safety discharge compliance or design decision","Stop until compatible boundaries units methods dates and authority are supplied"

# Use contract
# Keep this as UTF-8 CSV. One row describes one raw measurement, compatible calculation or explicit balance gap. Preserve original values and units; derived values never replace observations.
# `measurement_state` is measured, calculated, estimated, censored, below-detection-limit, corrected or missing. Missing is not zero. A result below a reporting or detection limit retains its qualifier and limit; do not substitute half the limit unless an approved method explicitly requires it and is cited.
# Align system/facility/train/stream/sample IDs, direction, location, time window, sample type, analytical fraction, method and operating state before comparison.
# Mass load may be calculated as flow × concentration × documented conversion factor. Removal is aligned input load minus output load. Percentage requires a valid nonzero input denominator. Hydraulic storage change is inflows minus outflows over a defined interval. Show operands, bases, conversions and units.
# Preserve recycle/return streams, residuals, storage changes and unmeasured terms. A residual is evidence of nonclosure; it is not automatically leakage, infiltration/inflow, process loss, meter error or illegal discharge.
# Every row includes source location/authority/version/effective and observation dates, owner, qualified reviewer, applicability, uncertainty, status, decision-not-made and stop/escalation.
# Stop for ambiguous stream direction, incompatible units or periods, missing method/detection limit, stale authority, active public-health/discharge/equipment concern, live-control request or result intended as compliance proof.
